纪元名单完整导出（修正后开局名单）
生成时间: 2026-08-26T12:12:22.387Z

============================================================
2003-04 赛季（2003 纪元）
============================================================

[ATL] 共 15 人
  Shareef Abdur-Rahim | PF | 27岁 | OVR 84
  Bryce Cotton | PG | 24岁 | OVR 72
  Ray McCallum | PG | 25岁 | OVR 71
  James Ennis III | SF | 26岁 | OVR 70
  Wade Baldwin | 1 | 20岁 | OVR 70
  Jordan Adams | SG | 22岁 | OVR 69
  P.J. Hairston | SF | 24岁 | OVR 69

[MIA] 共 15 人
  Chris Bosh | PF/C | 32岁 | OVR 84
  Goran Dragić | PG | 30岁 | OVR 81
  Hassan Whiteside | C | 27岁 | OVR 81
  Joe Johnson | SG/SF/PG | 35岁 | OVR 79
  Justise Winslow | SF | 20岁 | OVR 74
  Dion Waiters | SG | 25岁 | OVR 73
  Dorell Wright | SF | 31岁 | OVR 72
  Derrick Williams | SF | 25岁 | OVR 72
  Tyler Johnson | SG | 24岁 | OVR 71
  Josh McRoberts | PF | 29岁 | OVR 71
  Luke Babbitt | SF | 27岁 | OVR 70
  Willie Reed | C | 26岁 | OVR 68
  Josh Richardson | SG | 23岁 | OVR 67
  Beno Udrih | PG | 34岁 | OVR 60
  Udonis Haslem | PF | 36岁 | OVR 58

[MIL] 共 15 人
  Greg Monroe | C | 26岁 | OVR 82
  Giannis Antetokounmpo | SF/PF/PG | 22岁 | OVR 79
  Khris Middleton | SF/SG | 25岁 | OVR 78
  Jabari Parker | PF | 21岁 | OVR 77
  Michael Carter-Williams | PG | 25岁 | OVR 77
  O.J. Mayo | SG | 29岁 | OVR 75
  John Henson | C | 26岁 | OVR 72
  Matthew Dellavedova | PG | 26岁 | OVR 70
  Thon Maker | 4 | 19岁 | OVR 70
  Jerryd Bayless | SG | 28岁 | OVR 69
  Miles Plumlee | C | 28岁 | OVR 67
  Michael Beasley | PF | 28岁 | OVR 67
  Tyler Ennis | PG | 22岁 | OVR 61
  Greivis Vasquez | PG | 30岁 | OVR 59
  Johnny O'Bryant | PF | 23岁 | OVR 57

[MIN] 共 15 人
  Andrew Wiggins | SF | 21岁 | OVR 80
  Karl-Anthony Towns | C | 21岁 | OVR 78
  Ricky Rubio | PG | 26岁 | OVR 77
  Nikola Peković | C | 31岁 | OVR 77
  Shabazz Muhammad | SF | 24岁 | OVR 75
  Jordan Hill | C | 29岁 | OVR 75
  Gorgui Dieng | C | 27岁 | OVR 74
  Tayshaun Prince | SF | 36岁 | OVR 73
  Kris Dunn | 1 | 22岁 | OVR 73
  Cole Aldrich | C | 28岁 | OVR 72
  Nemanja Bjelica | PF | 28岁 | OVR 70
  Zach LaVine | SG | 21岁 | OVR 70
  Tyus Jones | PG | 20岁 | OVR 69
  Kris Dunn | PG | 22岁 | OVR 61
  Greg Smith | PF | 26岁 | OVR 59

[NOP] 共 15 人
  Anthony Davis | PF/C | 23岁 | OVR 92
  Tyreke Evans | SG/PG/SF | 27岁 | OVR 80
  Jrue Holiday | PG/SG | 26岁 | OVR 79
  Tim Frazier | PG | 26岁 | OVR 76
  Terrence Jones | PF | 25岁 | OVR 75
  Alexis Ajinça | C | 28岁 | OVR 74
  Solomon Hill | SF | 25岁 | OVR 73
  Norris Cole | PG | 28岁 | OVR 72
  Kendrick Perkins | C | 32岁 | OVR 72
  Langston Galloway | PG | 25岁 | OVR 72
  Alonzo Gee | SF | 29岁 | OVR 70
  Toney Douglas | PG | 30岁 | OVR 70
  E'Twaun Moore | SG | 27岁 | OVR 70
  Buddy Hield | 2 | 24岁 | OVR 70
  Dante Cunningham | SF | 29岁 | OVR 65

[NYK] 共 12 人  ← 人数偏少，可能有缺失
  Carmelo Anthony | SF/PF | 32岁 | OVR 88
  Joakim Noah | C/PF | 31岁 | OVR 79
  Courtney Lee | SG | 31岁 | OVR 75
  Kristaps Porziņģis | PF | 21岁 | OVR 74
  Kyle O'Quinn | PF | 26岁 | OVR 72
  Lou Amundson | PF | 34岁 | OVR 71
  Thanasis Antetokounmpo | SF | 24岁 | OVR 71
  Derrick Rose | PG/SG | 28岁 | OVR 71
  Lance Thomas | PF | 28岁 | OVR 70
  Justin Holiday | SG | 27岁 | OVR 66
  Willy Hernangomez | C | 22岁 | OVR 64
  Mindaugas Kuzminskas | SF | 27岁 | OVR 62

[OKC] 共 14 人
  Russell Westbrook | PG/SG | 28岁 | OVR 89
  Enes Kanter | C | 24岁 | OVR 80
  Victor Oladipo | SG | 24岁 | OVR 80
  Anthony Morrow | SG | 31岁 | OVR 74
  Steven Adams | C | 23岁 | OVR 74
  Nick Collison | PF | 36岁 | OVR 73
  Mitch McGary | PF | 24岁 | OVR 73
  Randy Foye | SG | 33岁 | OVR 72
  Cameron Payne | PG | 22岁 | OVR 72
  Andre Roberson | SG | 25岁 | OVR 72
  Domantas Sabonis | 4 | 20岁 | OVR 70
  Steve Novak | PF | 33岁 | OVR 64
  Kyle Singler | SF | 28岁 | OVR 60
  Josh Huestis | PF | 25岁 | OVR 56

[ORL] 共 14 人
  Nikola Vučević | C | 26岁 | OVR 83
  Brandon Jennings | PG | 27岁 | OVR 80
  Serge Ibaka | PF | 27岁 | OVR 80
  Jeff Green | SF | 30岁 | OVR 77
  Elfrid Payton | PG | 22岁 | OVR 76
  C.J. Watson | PG | 32岁 | OVR 74
  Aaron Gordon | PF | 21岁 | OVR 74
  Mario Hezonja | SF | 21岁 | OVR 73
  D.J. Augustin | PG | 29岁 | OVR 73
  Evan Fournier | SF | 24岁 | OVR 72
  Bismack Biyombo | C | 24岁 | OVR 72
  Andrew Nicholson | PF | 27岁 | OVR 65
  Shabazz Napier | PG | 25岁 | OVR 60
  Devyn Marble | SG | 24岁 | OVR 56

[PHI] 共 15 人
  Jahlil Okafor | C | 21岁 | OVR 77
  Nerlens Noel | C | 22岁 | OVR 77
  Joel Embiid | C | 22岁 | OVR 76
  Tony Wroten | PG | 23岁 | OVR 75
  Carl Landry | PF | 33岁 | OVR 74
  Ersan İlyasova | PF | 29岁 | OVR 74
  Gerald Henderson | SG | 29岁 | OVR 74
  Robert Covington | SF | 26岁 | OVR 73
  Ben Simmons | 3 | 20岁 | OVR 72
  Hollis Thompson | SG | 25岁 | OVR 71
  Elton Brand | PF/C | 37岁 | OVR 70
  Dario Šarić | PF | 22岁 | OVR 70
  Furkan Korkmaz | 2 | 19岁 | OVR 70
  Nik Stauskas | SG | 23岁 | OVR 69
  Jerami Grant | SF | 22岁 | OVR 69

[PHX] 共 15 人
  Eric Bledsoe | PG | 27岁 | OVR 82
  Brandon Knight | SG | 25岁 | OVR 81
  Tyson Chandler | C | 34岁 | OVR 79
  P.J. Tucker | SF | 31岁 | OVR 75
  Jared Dudley | PF | 31岁 | OVR 75
  Alex Len | C | 23岁 | OVR 74
  Leandro Barbosa | SG | 34岁 | OVR 74
  Devin Booker | SG | 20岁 | OVR 72
  Chase Budinger | SF | 28岁 | OVR 71
  T.J. Warren | SF | 23岁 | OVR 71
  Alan Williams | PF | 24岁 | OVR 70
  Dragan Bender | 4 | 19岁 | OVR 70
  Marquese Chriss | 4 | 19岁 | OVR 70
  Mirza Teletović | PF | 31岁 | OVR 69
  Ronnie Price | PG | 33岁 | OVR 69

[POR] 共 14 人
  Damian Lillard | PG | 26岁 | OVR 86
  C.J. McCollum | SG | 25岁 | OVR 78
  Mason Plumlee | C | 26岁 | OVR 76
  Ed Davis | PF | 27岁 | OVR 76
  Chris Kaman | C | 34岁 | OVR 76
  Evan Turner | SG | 28岁 | OVR 74
  Al-Farouq Aminu | SF | 26岁 | OVR 73
  Meyers Leonard | PF | 24岁 | OVR 72
  Brian Roberts | PG | 31岁 | OVR 72
  Noah Vonleh | PF | 21岁 | OVR 72
  Festus Ezeli | C | 27岁 | OVR 72
  Maurice Harkless | SF | 23岁 | OVR 68
  Allen Crabbe | SG | 24岁 | OVR 67
  Cliff Alexander | PF | 21岁 | OVR 58

[SAC] 共 15 人
  DeMarcus Cousins | C/PF | 26岁 | OVR 87
  Rudy Gay | SF | 30岁 | OVR 83
  Ty Lawson | PG | 29岁 | OVR 81
  Darren Collison | PG | 29岁 | OVR 79
  Arron Afflalo | SG | 31岁 | OVR 75
  Willie Cauley-Stein | C | 23岁 | OVR 74
  Marco Belinelli | SG | 30岁 | OVR 73
  Omri Casspi | SF | 28岁 | OVR 73
  Matt Barnes | SF | 36岁 | OVR 73
  Caron Butler | SF | 36岁 | OVR 72
  Ben McLemore | SG | 23岁 | OVR 72
  Kosta Koufos | C | 27岁 | OVR 72
  James Anderson | SG | 27岁 | OVR 70
  Georgios Papagiannis | 5 | 19岁 | OVR 70
  Malachi Richardson | 2 | 21岁 | OVR 70

[SAS] 共 15 人
  LaMarcus Aldridge | PF | 31岁 | OVR 88
  Kawhi Leonard | SF/SG/PF | 25岁 | OVR 87
  Pau Gasol | PF/C | 36岁 | OVR 86
  Tony Parker | PG | 34岁 | OVR 83
  Kevin Martin | SG | 33岁 | OVR 79
  Manu Ginóbili | SG/PG/SF | 39岁 | OVR 78
  Danny Green | SG | 29岁 | OVR 76
  David Lee | PF | 33岁 | OVR 76
  Patty Mills | PG | 28岁 | OVR 74
  Boris Diaw | PF/C/SF | 34岁 | OVR 74
  Andre Miller | PG | 40岁 | OVR 73
  Kyle Anderson | SF/PF/PG | 23岁 | OVR 71
  Dewayne Dedmon | C | 27岁 | OVR 71
  Matt Bonner | C | 36岁 | OVR 70
  Dejounte Murray | 1 | 20岁 | OVR 70

[TOR] 共 15 人
  Kyle Lowry | PG | 30岁 | OVR 83
  DeMar DeRozan | SG/SF | 27岁 | OVR 83
  DeMarre Carroll | SF | 30岁 | OVR 79
  Jonas Valančiūnas | C | 24岁 | OVR 78
  Jared Sullinger | PF | 24岁 | OVR 77
  James Johnson | PF | 29岁 | OVR 75
  Luis Scola | PF | 36岁 | OVR 75
  Patrick Patterson | PF | 27岁 | OVR 74
  Cory Joseph | SG | 25岁 | OVR 74
  Pascal Siakam | 4 | 22岁 | OVR 74
  Terrence Ross | SF | 25岁 | OVR 73
  Delon Wright | PG | 24岁 | OVR 70
  Jakob Poeltl | 5 | 21岁 | OVR 70
  Jason Thompson | C | 30岁 | OVR 68
  Lucas Nogueira | C | 24岁 | OVR 68

[UTA] 共 14 人
  Gordon Hayward | SF/SG | 26岁 | OVR 83
  Derrick Favors | PF | 25岁 | OVR 82
  Rudy Gobert | C | 24岁 | OVR 79
  George Hill | PG | 30岁 | OVR 78
  Alec Burks | SG | 25岁 | OVR 76
  Trey Burke | PG | 24岁 | OVR 73
  Shelvin Mack | PG | 26岁 | OVR 72
  Trey Lyles | PF | 21岁 | OVR 72
  Rodney Hood | SG | 24岁 | OVR 70
  Joe Ingles | SF | 29岁 | OVR 70
  Raul Neto | PG | 24岁 | OVR 70
  Jeff Withey | C | 26岁 | OVR 70
  Chris Johnson | SF | 26岁 | OVR 61
  Elijah Millsap | SG | 29岁 | OVR 58

[WAS] 共 14 人
  John Wall | PG | 26岁 | OVR 87
  Bradley Beal | SG | 23岁 | OVR 80
  Markieff Morris | PF | 27岁 | OVR 78
  Marcin Gortat | C | 32岁 | OVR 78
  J.J. Hickson | C | 28岁 | OVR 73
  Ian Mahinmi | C | 30岁 | OVR 73
  Marcus Thornton | SG | 29岁 | OVR 72
  Otto Porter Jr. | SF | 23岁 | OVR 72
  Jason Smith | C | 30岁 | OVR 72
  Garrett Temple | SF | 30岁 | OVR 71
  Kelly Oubre Jr. | SF | 21岁 | OVR 71
  Gary Neal | SG | 32岁 | OVR 67
  Kris Humphries | PF | 31岁 | OVR 64
  Drew Gooden | PF | 35岁 | OVR 58
